Edition,Gender,Sport,Medal_Bronze,Medal_Gold,Medal_Silver,Total_Medals
1992,Women,Eventing,0,1,1,2
1992,Women,Fencing,6,6,6,18
1992,Women,Handball,13,13,14,40
1992,Women,Hockey,16,16,16,48
1992,Women,Judo,14,7,7,28
1992,Women,Rhythmic_G,1,1,1,3
1992,Women,Rowing,22,22,22,66
1992,Women,Sailing,4,4,4,12
1992,Women,Shooting,4,5,4,13
1992,Women,Swimming,24,27,25,76
1992,Women,Synchronized_S,3,4,2,9
1992,Women,Table_Tennis,6,3,3,12
1992,Women,Tennis,6,3,3,12
1992,Women,Volleyball,12,12,12,36
1996,Men,Archery,4,4,4,12
1996,Men,Artistic_G,15,14,15,44
1996,Men,Athletics,32,32,33,97
1996,Men,Badminton,4,4,4,12
1996,Men,Baseball,20,20,20,60
1996,Men,Basketball,12,12,12,36
1996,Men,Beach_volley,2,2,2,6
1996,Men,Boxing,24,12,12,48
1996,Men,Canoe___Kayak_F,16,16,16,48
1996,Men,Canoe___Kayak_S,4,4,4,12
1996,Men,Cycling_Road,2,2,2,6
1996,Men,Cycling_Track,9,8,8,25
1996,Men,Diving,2,2,2,6
1996,Men,Dressage,3,2,1,6
1996,Men,Eventing,3,3,2,8
1996,Men,Fencing,12,12,12,36
1996,Men,Football,18,18,18,54
1996,Men,Handball,16,16,16,48
1996,Men,Hockey,16,16,16,48
1996,Men,Judo,14,7,7,28
1996,Men,Jumping,4,5,3,12
1996,Men,Modern_Pentath,1,1,1,3
1996,Men,Mountain_Bike,1,1,1,3
1996,Men,Rowing,28,28,28,84
1996,Men,Sailing,12,12,12,36
1996,Men,Shooting,10,10,10,30
1996,Men,Swimming,29,32,30,91
1996,Men,Table_Tennis,3,3,3,9
1996,Men,Tennis,3,3,3,9
1996,Men,Volleyball,12,12,12,36
1996,Men,Water_polo,13,13,13,39
1996,Men,Weightlifting,10,10,10,30
1996,Men,Wrestling_Free,10,10,10,30
1996,Men,Wrestling_Gre-R,10,10,10,30
1996,Women,Archery,4,4,4,12
1996,Women,Artistic_G,11,12,13,36
1996,Women,Athletics,28,28,27,83
1996,Women,Badminton,4,4,4,12
1996,Women,Basketball,12,12,12,36
1996,Women,Beach_volley,2,2,2,6
1996,Women,Canoe___Kayak_F,7,7,7,21
1996,Women,Canoe___Kayak_S,1,1,1,3
1996,Women,Cycling_Road,2,2,2,6
1996,Women,Cycling_Track,3,3,3,9
1996,Women,Diving,2,2,2,6
1996,Women,Dressage,2,3,4,9
1996,Women,Eventing,2,2,3,7
1996,Women,Fencing,8,8,8,24
1996,Women,Football,18,16,16,50
1996,Women,Handball,16,16,16,48
1996,Women,Hockey,16,16,16,48
1996,Women,Judo,14,7,7,28
1996,Women,Jumping,1,0,2,3
1996,Women,Mountain_Bike,1,1,1,3
1996,Women,Rhythmic_G,7,7,7,21
1996,Women,Rowing,20,20,20,60
1996,Women,Sailing,4,4,4,12
1996,Women,Shooting,5,5,5,15
1996,Women,Softball,15,15,15,45
1996,Women,Swimming,27,34,29,90
1996,Women,Synchronized_S,10,10,10,30
1996,Women,Table_Tennis,3,3,3,9
1996,Women,Tennis,3,3,3,9
1996,Women,Volleyball,12,12,12,36
2000,Men,Archery,4,4,4,12
2000,Men,Artistic_G,13,13,13,39
2000,Men,Athletics,33,28,33,94
2000,Men,Badminton,4,4,4,12
2000,Men,Baseball,24,24,24,72
2000,Men,Basketball,12,12,12,36
2000,Men,Beach_volley,2,2,2,6
2000,Men,Boxing,24,12,12,48
2000,Men,Canoe___Kayak_F,16,16,16,48
2000,Men,Canoe___Kayak_S,4,4,4,12
2000,Men,Cycling_Road,2,2,2,6
2000,Men,Cycling_Track,16,15,14,45
2000,Men,Diving,6,6,6,18
2000,Men,Dressage,2,0,1,3
2000,Men,Eventing,2,5,3,10
2000,Men,Fencing,13,14,13,40
2000,Men,Football,18,18,18,54
2000,Men,Handball,15,15,15,45
2000,Men,Hockey,16,16,16,48
2000,Men,Judo,14,7,7,28
2000,Men,Jumping,5,5,4,14
2000,Men,Modern_Pentath,1,1,1,3
2000,Men,Mountain_Bike,1,1,1,3
2000,Men,Rowing,28,28,28,84
2000,Men,Sailing,14,14,14,42
2000,Men,Shooting,10,10,10,30
2000,Men,Swimming,26,33,32,91
2000,Men,Table_Tennis,3,3,3,9
2000,Men,Taekwondo,4,4,4,12
2000,Men,Tennis,3,3,3,9
2000,Men,Trampoline,1,1,1,3
2000,Men,Triathlon,1,1,1,3
2000,Men,Volleyball,12,12,12,36
2000,Men,Water_polo,13,13,13,39
2000,Men,Weightlifting,8,8,8,24
2000,Men,Wrestling_Free,8,8,8,24
2000,Men,Wrestling_Gre-R,8,8,8,24
2000,Women,Archery,4,4,4,12
2000,Women,Artistic_G,11,11,11,33
2000,Women,Athletics,30,28,32,90
2000,Women,Badminton,4,4,4,12
2000,Women,Basketball,12,12,12,36
2000,Women,Beach_volley,2,2,2,6
2000,Women,Canoe___Kayak_F,7,7,7,21
2000,Women,Canoe___Kayak_S,1,1,1,3
2000,Women,Cycling_Road,2,2,2,6
2000,Women,Cycling_Track,4,4,4,12
2000,Women,Diving,6,6,6,18
2000,Women,Dressage,3,5,4,12
2000,Women,Eventing,3,0,2,5
2000,Women,Fencing,8,9,9,26
2000,Women,Football,18,18,18,54
2000,Women,Handball,15,15,15,45
2000,Women,Hockey,16,16,16,48
2000,Women,Judo,14,7,7,28
2000,Women,Jumping,0,0,1,1
2000,Women,Modern_Pentath,1,1,1,3
2000,Women,Mountain_Bike,1,1,1,3
2000,Women,Rhythmic_G,7,7,7,21
2000,Women,Rowing,20,20,20,60
2000,Women,Sailing,4,4,4,12
2000,Women,Shooting,7,7,7,21
2000,Women,Softball,15,15,15,45
2000,Women,Swimming,30,33,31,94
2000,Women,Synchronized_S,10,10,10,30
2000,Women,Table_Tennis,3,3,3,9
2000,Women,Taekwondo,4,4,4,12
2000,Women,Tennis,3,3,3,9
2000,Women,Trampoline,1,1,1,3
2000,Women,Triathlon,1,1,1,3
2000,Women,Volleyball,12,12,12,36
2000,Women,Water_polo,13,13,13,39
2000,Women,Weightlifting,7,7,7,21
2004,Men,Archery,4,4,4,12
2004,Men,Artistic_G,13,13,13,39
2004,Men,Athletics,30,31,32,93
2004,Men,Badminton,4,4,4,12
2004,Men,Baseball,24,23,24,71
2004,Men,Basketball,12,12,11,35
2004,Men,Beach_volley,2,2,2,6
2004,Men,Boxing,22,11,11,44
2004,Men,Canoe___Kayak_F,16,16,16,48
2004,Men,Canoe___Kayak_S,4,4,4,12
2004,Men,Cycling_Road,2,2,2,6
2004,Men,Cycling_Track,14,16,16,46
2004,Men,Diving,6,6,6,18
2004,Men,Dressage,2,2,3,7
2004,Men,Eventing,2,6,2,10
2004,Men,Fencing,14,13,14,41
2004,Men,Football,17,14,17,48
2004,Men,Handball,14,14,15,43
2004,Men,Hockey,16,16,16,48
2004,Men,Judo,14,7,7,28
2004,Men,Jumping,4,4,4,12
2004,Men,Modern_Pentath,1,1,1,3
2004,Men,Mountain_Bike,1,1,1,3
2004,Men,Rowing,28,28,28,84
2004,Men,Sailing,11,11,11,33
2004,Men,Shooting,10,10,10,30
2004,Men,Swimming,30,31,30,91
2004,Men,Table_Tennis,3,3,3,9
2004,Men,Taekwondo,4,4,4,12
2004,Men,Tennis,3,3,3,9
2004,Men,Trampoline,1,1,1,3
2004,Men,Triathlon,1,1,1,3
2004,Men,Volleyball,12,12,11,35
2004,Men,Water_polo,13,13,13,39
2004,Men,Weightlifting,8,8,8,24
2004,Men,Wrestling_Free,7,7,7,21
2004,Men,Wrestling_Gre-R,7,7,7,21
2004,Women,Archery,4,4,4,12
2004,Women,Artistic_G,11,11,11,33
2004,Women,Athletics,29,31,30,90
2004,Women,Badminton,4,4,4,12
2004,Women,Basketball,11,12,12,35
2004,Women,Beach_volley,2,2,2,6
2004,Women,Canoe___Kayak_F,7,7,7,21
2004,Women,Canoe___Kayak_S,1,1,1,3
2004,Women,Cycling_Road,2,2,2,6
2004,Women,Cycling_Track,4,4,4,12
2004,Women,Diving,6,6,6,18
2004,Women,Dressage,3,3,2,8
2004,Women,Eventing,4,0,4,8
2004,Women,Fencing,7,7,6,20
2004,Women,Football,17,16,17,50
2004,Women,Handball,15,15,15,45
2004,Women,Hockey,16,16,15,47
2004,Women,Judo,14,7,7,28
2004,Women,Jumping,0,1,1,2
2004,Women,Modern_Pentath,1,1,1,3
2004,Women,Mountain_Bike,1,1,1,3
2004,Women,Rhythmic_G,7,7,7,21
2004,Women,Rowing,20,20,20,60
2004,Women,Sailing,7,7,7,21
2004,Women,Shooting,7,7,7,21
2004,Women,Softball,15,15,15,45
2004,Women,Swimming,29,32,33,94
2004,Women,Synchronized_S,11,11,11,33
2004,Women,Table_Tennis,3,3,3,9
2004,Women,Taekwondo,4,4,4,12
2004,Women,Tennis,3,3,1,7
2004,Women,Trampoline,1,1,1,3
2004,Women,Triathlon,1,1,1,3
2004,Women,Volleyball,12,12,12,36
2004,Women,Water_polo,13,13,13,39
2004,Women,Weightlifting,7,7,7,21
2004,Women,Wrestling_Free,4,4,4,12
2008,Men,Archery,4,4,4,12
2008,Men,Artistic_G,13,13,13,39
2008,Men,Athletics,30,30,30,90
2008,Men,BMX,1,1,1,3
2008,Men,Badminton,4,4,4,12
2008,Men,Baseball,24,24,24,72
2008,Men,Basketball,12,12,12,36
2008,Men,Beach_volley,2,2,2,6
2008,Men,Boxing,22,11,11,44
2008,Men,Canoe___Kayak_F,16,16,16,48
2008,Men,Canoe___Kayak_S,4,4,4,12
2008,Men,Cycling_Road,2,2,1,5
2008,Men,Cycling_Track,13,13,13,39
2008,Men,Diving,6,6,6,18
2008,Men,Dressage,1,0,1,2
2008,Men,Eventing,1,5,2,8
2008,Men,Fencing,11,9,11,31
2008,Men,Football,18,18,18,54
2008,Men,Handball,14,15,14,43
2008,Men,Hockey,17,17,16,50
2008,Men,Judo,14,7,7,28
2008,Men,Jumping,3,3,4,10
2008,Men,Modern_Pentath,1,1,1,3
2008,Men,Mountain_Bike,1,1,1,3
2008,Men,Rowing,28,28,28,84
2008,Men,Sailing,11,11,11,33
2008,Men,Shooting,9,9,9,27
2008,Men,Swimming,32,36,33,101
2008,Men,Table_Tennis,4,4,4,12
2008,Men,Taekwondo,8,4,4,16
2008,Men,Tennis,3,3,3,9
2008,Men,Trampoline,1,1,1,3
2008,Men,Triathlon,1,1,1,3
2008,Men,Volleyball,12,12,12,36
2008,Men,Water_polo,13,13,13,39
2008,Men,Weightlifting,8,8,8,24
2008,Men,Wrestling_Free,14,7,7,28
2008,Men,Wrestling_Gre-R,13,7,7,27
2008,Women,Archery,4,4,4,12
2008,Women,Artistic_G,11,11,11,33
2008,Women,Athletics,28,29,30,87
2008,Women,BMX,1,1,1,3
2008,Women,Badminton,4,4,4,12
2008,Women,Basketball,12,12,12,36
2008,Women,Beach_volley,2,2,2,6
2008,Women,Canoe___Kayak_F,7,7,7,21
2008,Women,Canoe___Kayak_S,1,1,1,3
2008,Women,Cycling_Road,2,2,2,6
2008,Women,Cycling_Track,3,3,3,9
2008,Women,Diving,6,6,6,18
2008,Women,Dressage,3,4,3,10
2008,Women,Eventing,5,1,4,10
2008,Women,Fencing,10,11,10,31
2008,Women,Football,18,18,18,54
2008,Women,Handball,14,14,14,42
2008,Women,Hockey,16,16,16,48
2008,Women,Judo,14,7,7,28
2008,Women,Jumping,2,2,1,5
2008,Women,Modern_Pentath,1,1,1,3
2008,Women,Mountain_Bike,1,1,1,3
2008,Women,Rhythmic_G,7,7,7,21
2008,Women,Rowing,20,20,20,60
2008,Women,Sailing,7,7,7,21
2008,Women,Shooting,6,6,6,18
2008,Women,Softball,15,15,15,45
2008,Women,Swimming,31,35,33,99
2008,Women,Synchronized_S,11,11,11,33
2008,Women,Table_Tennis,4,4,4,12
2008,Women,Taekwondo,8,4,4,16
2008,Women,Tennis,3,3,3,9
2008,Women,Trampoline,1,1,1,3
2008,Women,Triathlon,1,1,1,3
2008,Women,Volleyball,12,12,12,36
2008,Women,Water_polo,13,13,13,39
2008,Women,Weightlifting,7,7,7,21
2008,Women,Wrestling_Free,8,4,4,16
